Freq	Real	Imag
5.00E+06	6.10E+01	2.25E+02
3.97E+06	3.11E+01	1.45E+02
3.16E+06	2.34E+01	1.00E+02
2.51E+06	1.98E+01	7.13E+01
1.99E+06	1.76E+01	5.01E+01
1.58E+06	1.60E+01	3.29E+01
1.26E+06	1.49E+01	1.81E+01
1.00E+06	1.42E+01	3.67E+00
7.95E+05	1.39E+01	-1.03E+01
6.32E+05	1.36E+01	-2.48E+01
5.02E+05	1.35E+01	-4.06E+01
3.99E+05	1.35E+01	-5.86E+01
3.17E+05	1.34E+01	-8.06E+01
2.52E+05	1.38E+01	-1.06E+02
2.00E+05	1.45E+01	-1.37E+02
1.59E+05	1.57E+01	-1.75E+02
1.26E+05	1.75E+01	-2.23E+02
1.00E+05	2.14E+01	-2.82E+02
7.98E+04	2.53E+01	-3.55E+02
6.34E+04	3.11E+01	-4.47E+02
5.04E+04	3.91E+01	-5.61E+02
4.00E+04	5.12E+01	-7.02E+02
3.18E+04	7.28E+01	-8.80E+02
2.53E+04	1.04E+02	-1.11E+03
2.01E+04	1.40E+02	-1.37E+03
1.60E+04	1.92E+02	-1.72E+03
1.27E+04	2.69E+02	-2.13E+03
1.01E+04	3.79E+02	-2.64E+03
8.01E+03	5.40E+02	-3.28E+03
6.36E+03	7.60E+02	-4.03E+03
5.06E+03	1.08E+03	-4.94E+03
4.02E+03	1.53E+03	-6.02E+03
3.19E+03	2.19E+03	-7.27E+03
2.54E+03	3.02E+03	-8.69E+03
2.02E+03	4.11E+03	-1.03E+04
1.60E+03	5.47E+03	-1.20E+04
1.27E+03	7.18E+03	-1.38E+04
1.01E+03	9.19E+03	-1.57E+04
8.04E+02	1.16E+04	-1.76E+04
6.39E+02	1.43E+04	-1.96E+04
5.08E+02	1.74E+04	-2.16E+04
4.03E+02	2.08E+04	-2.35E+04
3.20E+02	2.45E+04	-2.54E+04
2.55E+02	2.85E+04	-2.72E+04
2.02E+02	3.29E+04	-2.89E+04
1.61E+02	3.76E+04	-3.05E+04
1.28E+02	4.26E+04	-3.20E+04
1.02E+02	4.82E+04	-3.33E+04
8.07E+01	5.39E+04	-3.41E+04
6.44E+01	5.92E+04	-3.39E+04
5.07E+01	6.54E+04	-3.39E+04
3.94E+01	7.14E+04	-3.35E+04
3.01E+01	7.79E+04	-3.30E+04
2.26E+01	8.41E+04	-3.18E+04
1.66E+01	9.06E+04	-3.05E+04
1.20E+01	9.68E+04	-2.87E+04
8.39E+00	1.04E+05	-2.68E+04
5.74E+00	1.11E+05	-2.47E+04
3.82E+00	1.17E+05	-2.15E+04
2.49E+00	1.23E+05	-1.81E+04
1.58E+00	1.28E+05	-1.46E+04
1.00E+00	1.32E+05	-1.12E+04
