Freq,Real,Imag
5.00E+06,6.09E+01,2.25E+02
3.97E+06,3.11E+01,1.45E+02
3.16E+06,2.32E+01,9.93E+01
2.51E+06,1.98E+01,7.13E+01
1.99E+06,1.77E+01,5.00E+01
1.58E+06,1.60E+01,3.29E+01
1.26E+06,1.49E+01,1.80E+01
1.00E+06,1.42E+01,3.64E+00
7.95E+05,1.38E+01,-1.04E+01
6.32E+05,1.36E+01,-2.48E+01
5.02E+05,1.34E+01,-4.06E+01
3.99E+05,1.35E+01,-5.86E+01
3.17E+05,1.34E+01,-8.06E+01
2.52E+05,1.38E+01,-1.06E+02
2.00E+05,1.45E+01,-1.37E+02
1.59E+05,1.57E+01,-1.75E+02
1.26E+05,1.76E+01,-2.23E+02
1.00E+05,2.14E+01,-2.82E+02
7.98E+04,2.52E+01,-3.55E+02
6.34E+04,3.09E+01,-4.47E+02
5.04E+04,3.90E+01,-5.61E+02
4.00E+04,5.11E+01,-7.02E+02
3.18E+04,7.25E+01,-8.80E+02
2.53E+04,1.04E+02,-1.11E+03
2.01E+04,1.40E+02,-1.37E+03
1.60E+04,1.92E+02,-1.72E+03
1.27E+04,2.68E+02,-2.13E+03
1.01E+04,3.78E+02,-2.64E+03
8.01E+03,5.38E+02,-3.28E+03
6.36E+03,7.59E+02,-4.04E+03
5.06E+03,1.08E+03,-4.94E+03
4.02E+03,1.53E+03,-6.02E+03
3.19E+03,2.18E+03,-7.27E+03
2.54E+03,3.00E+03,-8.71E+03
2.02E+03,4.09E+03,-1.03E+04
1.60E+03,5.44E+03,-1.20E+04
1.27E+03,7.14E+03,-1.39E+04
1.01E+03,9.19E+03,-1.58E+04
8.04E+02,1.16E+04,-1.78E+04
6.39E+02,1.43E+04,-1.98E+04
5.08E+02,1.74E+04,-2.17E+04
4.03E+02,2.08E+04,-2.37E+04
3.20E+02,2.45E+04,-2.55E+04
2.55E+02,2.86E+04,-2.74E+04
2.02E+02,3.30E+04,-2.92E+04
1.61E+02,3.79E+04,-3.09E+04
1.28E+02,4.30E+04,-3.25E+04
1.02E+02,4.86E+04,-3.38E+04
8.07E+01,5.44E+04,-3.46E+04
6.44E+01,6.03E+04,-3.42E+04
5.07E+01,6.63E+04,-3.41E+04
3.94E+01,7.24E+04,-3.37E+04
3.01E+01,7.91E+04,-3.28E+04
2.26E+01,8.53E+04,-3.14E+04
1.66E+01,9.14E+04,-2.96E+04
1.20E+01,9.72E+04,-2.74E+04
8.39E+00,1.04E+05,-2.54E+04
5.74E+00,1.11E+05,-2.32E+04
3.82E+00,1.16E+05,-2.01E+04
2.49E+00,1.21E+05,-1.68E+04
1.58E+00,1.26E+05,-1.37E+04
1.00E+00,1.30E+05,-1.05E+04
