Freq,Real,Imag
5.00E+06,5.78E+01,2.18E+02
3.97E+06,3.10E+01,1.41E+02
3.16E+06,2.32E+01,9.73E+01
2.51E+06,1.97E+01,6.96E+01
1.99E+06,1.76E+01,4.88E+01
1.58E+06,1.60E+01,3.19E+01
1.26E+06,1.49E+01,1.73E+01
1.00E+06,1.43E+01,3.06E+00
7.95E+05,1.39E+01,-1.08E+01
6.32E+05,1.36E+01,-2.52E+01
5.02E+05,1.35E+01,-4.10E+01
3.99E+05,1.35E+01,-5.88E+01
3.17E+05,1.34E+01,-8.08E+01
2.52E+05,1.38E+01,-1.06E+02
2.00E+05,1.45E+01,-1.37E+02
1.59E+05,1.57E+01,-1.75E+02
1.26E+05,1.76E+01,-2.23E+02
1.00E+05,2.14E+01,-2.82E+02
7.98E+04,2.54E+01,-3.55E+02
6.34E+04,3.11E+01,-4.47E+02
5.04E+04,3.92E+01,-5.61E+02
4.00E+04,5.14E+01,-7.03E+02
3.18E+04,7.32E+01,-8.81E+02
2.53E+04,1.05E+02,-1.11E+03
2.01E+04,1.41E+02,-1.37E+03
1.60E+04,1.94E+02,-1.72E+03
1.27E+04,2.70E+02,-2.13E+03
1.01E+04,3.82E+02,-2.64E+03
8.01E+03,5.43E+02,-3.28E+03
6.36E+03,7.65E+02,-4.03E+03
5.06E+03,1.09E+03,-4.94E+03
4.02E+03,1.54E+03,-6.01E+03
3.19E+03,2.20E+03,-7.26E+03
2.54E+03,3.04E+03,-8.68E+03
2.02E+03,4.14E+03,-1.03E+04
1.60E+03,5.51E+03,-1.20E+04
1.27E+03,7.18E+03,-1.37E+04
1.01E+03,9.25E+03,-1.57E+04
8.04E+02,1.16E+04,-1.76E+04
6.39E+02,1.43E+04,-1.95E+04
5.08E+02,1.74E+04,-2.14E+04
4.03E+02,2.08E+04,-2.32E+04
3.20E+02,2.45E+04,-2.50E+04
2.55E+02,2.85E+04,-2.68E+04
2.02E+02,3.27E+04,-2.84E+04
1.61E+02,3.74E+04,-3.01E+04
1.28E+02,4.23E+04,-3.16E+04
1.02E+02,4.76E+04,-3.28E+04
8.07E+01,5.30E+04,-3.36E+04
6.44E+01,5.76E+04,-3.37E+04
5.07E+01,6.36E+04,-3.44E+04
3.94E+01,7.01E+04,-3.42E+04
3.01E+01,7.63E+04,-3.43E+04
2.26E+01,8.29E+04,-3.40E+04
1.66E+01,9.00E+04,-3.35E+04
1.20E+01,9.77E+04,-3.26E+04
8.39E+00,1.06E+05,-3.10E+04
5.74E+00,1.14E+05,-2.90E+04
3.82E+00,1.21E+05,-2.55E+04
2.49E+00,1.28E+05,-2.14E+04
1.58E+00,1.35E+05,-1.73E+04
1.00E+00,1.38E+05,-1.32E+04
